color,from,nikename,parent,subparent,l,a,b
紫铜,涤棉色谱_何进丰,深咖啡：染样3、涤棉（棕紫）a,黑,紫,37,3,10
大紫,国标GB/T 31430-2015,大紫,黑,紫,29.2,21,-7.8
紫棠,中国美色_中国国家地理,,黑,紫,12.52479665,41.15267568,-44.58477385
紫棠,中国传统色彩图鉴_鸿洋,,黑,紫,12.52479665,41.15267568,-44.58477385
紫檀,国标GB/T 31430-2015,紫檀,黑,紫,27.6,17,2.6
紫檀,中国美色_中国国家地理,紫檀,黑,紫,8.014305762,20.82969268,9.394331583
紫黑,国标GB/T 31430-2015,紫黑,黑,紫,25.9,9.4,-8.6
黑紫,DIC中国传统色,,黑,紫,22.36023618,12.77667049,1.594994119
栗紫,perchouli,,赤,紫,21.74053962,37.50918165,22.60955923
栗紫,中国色名综览_凑幸卫,,黑,紫,33.58170278,25.42142271,6.588898684
暗玉紫,perchouli,,赤,紫,23.67607661,34.52066373,18.89169319
暗玉紫,中国色名综览_凑幸卫,,黑,紫,41.21704307,21.25555208,6.043712013
猪肝紫,perchouli,,黑,紫,21.03746937,33.17255136,14.2611116
猪肝紫,中国色名综览_凑幸卫,,黑,紫,34.92861268,16.80084937,-5.348013625
李紫,perchouli,,黑,紫,7.333542083,18.81179221,4.988423929
李紫,中国色名综览_凑幸卫,,黑,紫,33.59699386,25.83122711,-0.603610407
玫瑰葡萄紫,中国色名综览_凑幸卫,,黑,紫,25.24069997,28.63209169,-9.121829368
金鱼紫,perchouli,,赤,紫,17.4989276,38.05427515,20.45112719
金鱼紫,中国色名综览_凑幸卫,,黑,紫,34.55989615,37.74020036,-9.137882935
甘蔗紫,perchouli,,赤,紫,23.73249546,42.21088092,18.27635337
甘蔗紫,中国色名综览_凑幸卫,,黑,紫,45.00657275,25.75218107,0.841143188
石竹紫,perchouli,,赤,紫,22.97779286,45.20499823,23.63103838
石竹紫,中国色名综览_凑幸卫,,黑,紫,36.17443303,30.32558383,0.437029338
卵石紫,perchouli,,黑,紫,9.802258379,19.54560849,4.266178433
卵石紫,中国色名综览_凑幸卫,,黑,紫,41.21702399,21.7119697,0.214847232
芝兰紫,perchouli,,白,紫,85.88286229,15.01604849,0.656840626
芝兰紫,中国色名综览_凑幸卫,,白,紫,81.34800824,28.55103253,-6.509152136
火鹅紫,perchouli,,黑,紫,10.28646868,22.81005308,3.229794596
鹞冠紫,perchouli,,赤,紫,24.90397955,40.83031873,7.288090782
