color,from,l,a,b
孔雀蓝,DIC中国传统色,30.545,31.652,-57.866
孔雀蓝,色谱_perchouli,66.026,-27.972,-23.169
孔雀绿,中国色名综览_凑幸卫,57.559742697748,-39.9052714996353,4.71972035780061
孔雀绿,中国传统色彩图鉴_鸿洋,54.805,-39.55,-10.779
孔雀绿,钧瓷色彩的特征与分类体系研究_王庆斌,41.8912068826173,-26.8964739070308,1.28859491599049
孔雀绿,色谱_perchouli,54.178,-46.14,25.695
枯绿,中国色名综览_凑幸卫,61.6566488013591,1.59661376811154,48.6594477733871
枯绿,中国美色_中国国家地理,67.208,-3.071,24.015
枯绿,人造丝绸缎色谱_何进丰,75,3,53
枯绿,DIC中国传统色,71.385,-7.204,32.513
枯绿,色谱_perchouli,60.925,5.669,62.646
葵黄,中国色名综览_凑幸卫,82.3288124653402,10.1826598689208,79.0697715906623
葵黄,DIC中国传统色,76.704,9.796,38.1
葵黄,乾隆色谱_刘剑,82,-3,65
葵黄,色谱_perchouli,84.122,3.397,83.467
葵黄,国标,71.7,27.8,76.1
蓝翠,中国色名综览_凑幸卫,64.1369879687154,-11.7739995591004,-20.4885547618079
蓝翠,染作江南春水色_金成熺,57.08,-7.13,-20.54
蓝翠,色谱_perchouli,59.872,-25.267,-20.271
蓝翠,国标,56.5,-20.8,-33.4
莲红,中国色名综览_凑幸卫,41.1545994408505,43.4497152438093,9.4207048281564
莲红,染作江南春水色_金成熺,58.67,39.98,12.69
莲红,故宫里的色彩美学_郭浩,71.657,23.966,-1.472
莲红,国标,35,41.1,17.6
绿色,涤棉色谱_何进丰,56,-37,19
绿色,涤棉色谱_何进丰,56,-43,8
绿色,古色之美_青简,53.4,-24.963,-4.745
绿色,中国颜色_黄仁达,58.972,-45.705,42.567
满天星紫,中国色名综览_凑幸卫,41.2058000841814,19.4460857700627,-31.5540625546321
满天星紫,中国美色_中国国家地理,24.774,11.745,-35.867
满天星紫,人造丝绸缎色谱_何进丰,48,15,-26
满天星紫,色谱_perchouli,24.425,23.302,-43.176
玫瑰红,中国色名综览_凑幸卫,51.5434551423629,47.0451812790951,-18.2707322365615
玫瑰红,中国传统色彩图鉴_鸿洋,51.561,67.342,-4.567
玫瑰红,钧瓷色彩的特征与分类体系研究_王庆斌,24.0832377595692,38.1696128198387,20.3105263042852
玫瑰红,中国颜色_黄仁达,35.287,50.491,35.043
玫瑰红,DIC中国传统色,34.237,33.907,6.236
玫瑰红,色谱_perchouli,49.17,65.311,-3.482
玫瑰紫,中国色名综览_凑幸卫,44.1841881107504,51.077450643911,-20.5462639442307
玫瑰紫,钧瓷色彩的特征与分类体系研究_王庆斌,22.0877370070935,6.77673196569561,-4.33163566161071
玫瑰紫,绞丝染色基本色谱_何进丰,31,40,-18
玫瑰紫,人造丝绸缎色谱_何进丰,40,55,-4
玫瑰紫,人造丝绸缎色谱_何进丰,46,41,-3
玫瑰紫,古色之美_青简,46.028,57.843,-3.665
玫瑰紫,色谱_perchouli,44.097,60.649,-10.284
玫瑰紫,国标,32.9,26.7,-17.4
米白,中国传统色彩图鉴_鸿洋,79.251,5.377,71.922
米白,中国美色_中国国家地理,92.568,-0.89,5.192
米白,绞丝染色基本色谱_何进丰,87,4,34
米白,染色样本士林类_何进丰,84,6,25
米白,乾隆色谱_刘剑,70,25,55
米白,色谱_perchouli,90.471,6.119,12.08
米白,国标,90.3,0,7.2
米黄,中国色名综览_凑幸卫,91.0818230414818,6.52712530956667,8.81828685404473
